start_time,end_time,start_x,start_y,end_x,end_y,money
0,164,81,30,81,36,13.0
3,1233,32,96,28,59,26.8
3,285,73,64,73,56,13.0
3,741,64,12,57,38,18.52
4,564,82,62,92,61,13.0
4,604,86,11,66,26,21.28
5,597,76,80,51,72,24.04
6,664,41,48,40,71,15.76
7,1375,80,58,34,96,50.03
8,39,45,65,45,65,13.0
8,413,87,51,77,78,21.28
9,1368,86,95,65,50,46.12
10,1790,89,98,67,7,85.22
12,252,38,56,36,55,13.0
12,916,81,22,56,18,24.04
12,915,50,97,39,59,32.32
12,683,51,23,82,26,21.28
14,1617,88,39,90,52,28.18
16,643,80,50,87,43,13.0
17,900,75,55,55,75,26.8
17,1188,49,21,79,62,46.12
18,177,34,92,34,96,13.0
20,20,35,44,35,44,13.0
21,590,18,50,6,55,13.0
21,1344,22,57,22,57,13.0
22,609,31,41,35,70,24.04
23,889,75,53,81,89,29.56
23,722,65,64,59,85,18.52
24,564,55,44,48,24,15.76
26,490,31,89,17,94,15.76
28,837,69,46,89,24,26.8
29,629,50,25,46,15,18.52
31,1070,81,59,68,85,35.08
31,548,21,80,26,83,13.0
31,31,83,59,83,59,13.0
31,1339,64,9,98,76,65.67
31,859,74,56,56,80,26.8
32,295,68,88,75,85,13.0
35,35,67,18,67,18,13.0
36,990,64,44,40,65,29.56
36,1405,83,57,11,67,57.85
38,2150,49,24,90,48,96.95
38,38,48,6,48,6,13.0
38,38,63,99,63,99,13.0
38,522,41,87,36,91,13.0
38,103,62,56,65,57,13.0
39,579,49,46,42,53,13.0
39,939,94,76,94,76,13.0
39,769,89,51,66,44,18.52
39,254,81,39,83,36,13.0
40,40,69,54,69,54,13.0
41,41,69,46,69,46,13.0
41,1181,40,50,61,89,40.6
43,230,28,36,32,29,13.0
45,192,50,66,48,67,13.0
45,277,47,96,51,90,13.0
46,1040,64,48,26,80,40.6
46,864,48,82,43,50,24.04
47,47,82,47,82,47,13.0
47,503,66,39,72,45,13.0
49,372,86,48,75,48,13.0
52,1117,79,62,26,59,40.6
53,1187,63,52,16,54,35.08
53,200,34,36,41,36,13.0
54,881,86,92,99,57,29.56
55,1926,67,66,34,1,71.88
56,1121,53,10,46,6,24.04
56,570,86,36,67,23,21.28
56,182,35,30,40,30,13.0
56,550,61,83,77,76,15.76
57,1996,47,69,67,12,64.06
57,390,44,93,29,89,13.0
