start_time,end_time,start_x,start_y,end_x,end_y,money
170,256,88,24,87,29,13.0
171,1352,66,46,67,97,43.36
172,2031,10,88,10,88,13.0
172,533,53,87,61,80,13.0
173,318,85,59,83,67,13.0
176,718,31,96,65,91,26.8
177,268,65,42,63,43,13.0
177,804,24,91,36,74,18.52
177,358,68,83,65,87,13.0
178,875,65,53,64,23,21.28
180,1029,29,41,29,41,13.0
181,1339,86,96,44,87,37.84
182,2300,97,52,80,0,73.49
184,1057,81,51,50,40,24.04
184,1835,73,19,62,93,61.76
184,794,61,78,52,90,15.76
185,397,83,41,79,34,13.0
186,186,89,94,89,94,13.0
187,907,81,75,65,86,21.28
187,1184,79,62,96,29,29.56
188,1107,20,90,22,55,21.28
188,620,11,76,7,59,18.52
188,511,75,57,81,56,13.0
189,530,76,47,78,61,13.0
189,1237,93,39,73,83,37.84
189,1590,49,76,24,15,50.03
191,594,7,78,7,47,18.52
192,305,64,99,68,97,13.0
194,554,94,94,86,98,13.0
194,272,27,73,27,70,13.0
194,1081,52,39,48,9,21.28
194,939,36,76,42,66,24.04
195,1821,65,66,26,31,69.58
197,1000,90,59,79,64,15.76
197,961,61,55,55,71,15.3
201,1060,67,78,45,41,37.84
203,1677,87,39,17,37,50.03
206,1449,63,48,43,87,43.36
206,581,79,62,88,64,13.0
206,1244,95,82,85,29,37.84
207,796,81,78,93,86,18.52
207,829,37,66,44,73,13.0
209,1373,56,65,20,86,37.38
209,390,61,39,65,42,13.0
209,639,77,69,74,82,15.76
210,730,66,70,74,84,18.52
210,608,83,54,98,56,13.0
210,1435,63,53,61,78,24.04
210,621,30,30,27,41,13.0
211,529,40,73,29,68,15.76
212,212,7,34,7,34,13.0
212,650,35,38,47,31,15.76
213,950,96,52,88,8,29.56
213,1306,52,26,92,54,40.6
213,1451,74,62,15,43,46.12
213,933,74,56,49,76,26.8
215,713,56,81,62,96,15.76
216,876,15,97,61,95,32.32
216,840,56,66,37,82,24.04
218,513,99,57,99,51,13.0
219,700,22,85,34,84,13.0
219,616,89,46,90,53,13.0
220,609,40,75,39,81,13.0
221,814,39,66,33,82,15.76
222,1302,22,68,20,90,21.28
223,1107,63,72,18,85,40.6
225,227,51,23,51,23,13.0
225,1509,65,66,68,19,43.36
227,613,13,56,7,61,18.52
227,467,68,96,64,97,13.0
228,640,83,38,79,18,15.76
229,1526,52,34,74,77,40.6
230,470,33,96,28,96,13.0
231,479,53,11,53,11,13.0
232,232,66,39,66,39,13.0
233,593,28,37,19,37,13.0
233,2380,58,96,90,46,99.25
234,1343,44,20,37,43,24.04
234,511,7,61,9,81,15.76
236,1189,30,14,18,80,43.36
236,1118,95,77,16,98,57.85
236,1587,72,34,5,32,53.94
238,690,92,83,82,73,13.0
239,1292,48,22,19,41,34.62
241,1886,65,72,41,61,43.36
242,546,39,42,43,37,13.0
244,1099,80,52,83,42,18.52
246,1620,85,77,92,38,31.86
246,884,48,49,31,61,18.52
247,1427,92,95,63,27,57.85
247,824,19,36,38,28,18.52
247,487,10,57,10,57,13.0
247,247,22,19,22,19,13.0
247,1529,85,77,46,20,61.76
249,606,71,23,53,17,15.76
250,731,18,44,11,53,13.0
251,1316,17,35,25,34,21.28
251,2111,94,84,82,52,61.76
253,1418,37,43,68,12,37.84
253,1327,72,23,75,11,21.28
254,718,55,62,50,50,13.0
254,930,49,62,65,63,13.0
255,752,36,53,26,61,13.0
255,1437,76,60,76,59,31.86
255,276,78,81,78,80,13.0
256,923,78,52,89,59,13.0
256,847,21,24,3,59,32.32
258,621,34,81,39,89,13.0
258,1435,85,98,85,98,13.0
259,807,60,27,34,17,21.28
259,657,62,81,58,78,13.0
260,621,11,24,9,44,15.76
260,1026,76,72,88,60,15.76
260,469,88,91,88,98,13.0
261,336,61,66,58,66,13.0
261,531,40,74,39,80,13.0
262,1509,24,88,46,25,53.94
263,878,39,50,45,23,24.04
265,1465,60,71,24,35,46.12
266,1466,90,52,44,23,43.36
268,1557,70,66,80,48,37.84
268,268,83,79,83,79,13.0
269,1204,69,50,39,58,24.04
269,1343,28,63,32,30,24.04
271,860,58,35,79,29,15.76
271,1069,44,97,36,56,32.32
272,524,87,48,89,45,13.0
272,1140,62,63,62,63,13.0
274,936,25,41,32,57,15.76
275,1600,68,71,73,41,29.1
275,628,80,70,79,81,13.0
275,1595,78,53,23,35,46.12
276,276,85,78,85,78,13.0
277,1417,50,62,78,39,29.56
278,1084,80,62,90,84,20.82
278,1640,77,84,50,15,65.67
282,786,95,42,84,37,13.0
283,523,95,38,95,38,13.0
283,1303,22,88,61,68,35.08
283,283,26,29,26,29,13.0
284,1961,22,49,13,10,40.14
285,1024,66,40,69,50,15.76
286,1076,21,92,34,91,15.76
286,504,39,47,37,39,13.0
286,673,21,46,35,37,15.76
287,2589,50,84,50,84,13.0
288,932,83,36,92,57,18.52
293,1403,81,51,33,84,50.03
294,1466,85,77,89,3,53.94
295,1710,62,82,45,12,73.49
295,365,83,56,86,56,13.0
295,1595,98,51,49,9,57.85
298,679,75,53,83,47,13.0
299,1066,90,88,65,92,26.8
301,301,98,84,98,84,13.0
302,513,24,75,21,72,13.0
303,363,82,74,83,75,13.0
306,710,40,62,34,42,15.76
306,1006,62,64,74,68,13.0
307,1037,45,82,24,96,24.04
311,1425,92,57,68,18,37.84
311,779,81,32,69,39,13.0
314,556,73,57,69,52,13.0
315,935,30,87,47,89,13.0
316,1995,61,43,75,54,50.03
316,577,61,73,62,60,13.0
318,1145,48,22,28,41,26.8
320,912,9,54,9,73,15.76
320,836,22,68,21,61,13.0
324,972,84,69,72,94,26.8
328,328,25,40,25,40,13.0
329,754,28,81,52,85,18.52
330,1141,48,38,48,9,21.28
330,1470,72,46,32,11,46.12
331,1913,48,41,87,7,46.12
331,995,32,93,37,83,18.52
332,1333,61,72,96,49,37.84
332,3017,84,34,98,56,93.73
333,665,67,66,66,71,13.0
334,1600,61,72,45,25,53.94
336,2086,15,57,78,29,61.76
338,1335,46,88,45,25,46.12
